categoria,porcentagem
Java,29.721362229102166
Internet,12.693498452012383
Microsoft .NET,10.526315789473685
Web Development,5.2631578947368425
Software Engineering,4.953560371517028
Programming,3.7151702786377707
Business,3.7151702786377707
Client-Server,3.4055727554179565
Microsoft,2.476780185758514
PowerBuilder,2.1671826625387
Networking,2.1671826625387
Theory,2.1671826625387
Computer Graphics,1.8575851393188854
Python,1.8575851393188854
Mobile Technology,1.8575851393188854
Perl,1.8575851393188854
Object-Oriented Programming,1.238390092879257
XML,1.238390092879257
Open Source,0.6191950464396285
Miscellaneous,0.6191950464396285
,0.6191950464396285
Mobile,0.30959752321981426
Next Generation Databases,0.30959752321981426
S,0.30959752321981426
P,0.30959752321981426
java,0.30959752321981426
Microsoft/.NET,0.30959752321981426
Miscella,0.30959752321981426
Object-Technology Programming,0.30959752321981426
internet,0.30959752321981426
.NET,0.30959752321981426
Algorithmic Art,0.30959752321981426
PHP,0.30959752321981426
SOA,0.30959752321981426
Computer Graph,0.30959752321981426
Client Server,0.30959752321981426
In Action,0.30959752321981426
Software Development,0.30959752321981426
